IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,211,11.28
141.147.160.221,2095,2095,false,NRT,Asia Pacific,Tokyo,69,11.21
192.9.246.112,8443,443,true,SJC,North America,San Jose,178,11.18
141.147.164.54,2096,2096,true,NRT,Asia Pacific,Tokyo,71,11.10
140.238.32.238,2096,2096,true,NRT,Asia Pacific,Tokyo,81,11.07
141.147.166.95,8880,8880,false,NRT,Asia Pacific,Tokyo,69,11.05
132.145.120.95,2052,2052,false,NRT,Asia Pacific,Tokyo,70,10.99
155.248.165.169,80,80,false,NRT,Asia Pacific,Tokyo,71,10.94
140.238.41.253,8080,8080,false,NRT,Asia Pacific,Tokyo,71,10.91
131.186.44.38,2082,2082,false,NRT,Asia Pacific,Tokyo,70,10.89
140.238.32.238,8443,8443,true,NRT,Asia Pacific,Tokyo,234,10.87
141.147.175.230,2096,2096,true,NRT,Asia Pacific,Tokyo,101,10.87
140.238.36.216,2053,2053,true,NRT,Asia Pacific,Tokyo,91,10.86
141.147.160.221,8880,8880,false,NRT,Asia Pacific,Tokyo,70,10.81
158.101.131.218,2095,2095,false,NRT,Asia Pacific,Tokyo,67,10.81
140.238.41.253,8880,8880,false,NRT,Asia Pacific,Tokyo,72,10.81
132.145.120.95,2086,2086,false,NRT,Asia Pacific,Tokyo,70,10.81
158.101.137.74,2095,2095,false,NRT,Asia Pacific,Tokyo,69,10.79
158.101.131.218,8443,8443,true,NRT,Asia Pacific,Tokyo,93,10.79
155.248.160.116,2052,2052,false,NRT,Asia Pacific,Tokyo,69,10.78
140.238.40.136,2087,2087,true,NRT,Asia Pacific,Tokyo,99,10.77
132.145.117.216,8880,8880,false,NRT,Asia Pacific,Tokyo,75,10.76
140.238.48.97,2087,2087,true,NRT,Asia Pacific,Tokyo,205,10.75
158.101.149.52,2095,2095,false,NRT,Asia Pacific,Tokyo,78,10.75
152.70.155.147,443,443,true,LAX,North America,Los Angeles,216,10.74
132.145.120.182,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.74
155.248.171.133,443,443,true,SIN,Asia Pacific,Singapore,66,10.74
158.101.159.181,2052,2052,false,NRT,Asia Pacific,Tokyo,72,10.70
192.18.134.231,443,443,true,SJC,North America,San Jose,182,10.69
152.70.123.225,8443,443,true,SJC,North America,San Jose,175,10.69
131.186.43.107,2095,2095,false,NRT,Asia Pacific,Tokyo,71,10.66
140.238.56.206,443,443,true,SIN,Asia Pacific,Singapore,159,10.64
141.147.164.54,8880,8880,false,NRT,Asia Pacific,Tokyo,70,10.57
158.101.137.74,2052,2052,false,NRT,Asia Pacific,Tokyo,68,10.56
132.145.120.182,2083,2083,true,NRT,Asia Pacific,Tokyo,80,10.55
152.70.106.195,2095,2095,false,NRT,Asia Pacific,Tokyo,71,10.52
158.101.140.255,2096,2096,true,NRT,Asia Pacific,Tokyo,81,10.51
